Sr No,Component,NETC – Make,Rising Power – Make,Cospower – Make,In-house / Bought-out,Model No.,Country,Warranty
1,Cell,,Hithium,Cospower,,,,
2,BMU,,GOLD or BMSER,Kgooer,,,,
3,BCMU,,GOLD or BMSER,Kgooer,,,,
4,BAU,,GOLD or BMSER,Kgooer,,,,
5,PCS,,Enjoy,GSSTES,,,,
6,Chiller,,Tongfei/Envicool,HAIWU,,,,
7,FSS,,JAD/Fuji/CFLC,JINGTONG,,,,
8,De-humidifier,,,,,,,
9,Aerosol cylinder,,JAD/Fuji/CFLC,,,,,
10,EMS,,,Cospower,,,,
,,,,,,,,
,Legend:,,(needs vendor input),,,,,
,"Yellow cells = to be filled/confirmed by vendor. State In-house vs Bought-out, exact Model No., Country of make, and component-level Warranty for each.",,,,,,,
