Sr No,Component,NETC,Rising Power,Cospower,Hithium,In-house / Bought-out,Model No.,Country,Warranty
1,Cell,,Hithium,Cospower,Hithium (in-house),,,,
2,BMU,,GOLD or BMSER,Kgooer,Hithium (in-house),,,,
3,BCMU,,GOLD or BMSER,Kgooer,Hithium (in-house),,,,
4,BAU,,GOLD or BMSER,Kgooer,Hithium (in-house),,,,
5,PCS,,Enjoy,GSSTES,Bought-out (confirm: Sungrow/Sineng/Kehua),,,,
6,Chiller,,Tongfei/Envicool,HAIWU,Bought-out (confirm: Envicool/Shuangliang),,,,
7,FSS,,JAD/Fuji/CFLC,JINGTONG,Bought-out (confirm agent & make),,,,
8,De-humidifier,,,,Bought-out (confirm),,,,
9,Aerosol cylinder,,JAD/Fuji/CFLC,,Bought-out (confirm: Stat-X/DSPA),,,,
10,EMS,,,Cospower,Hithium (in-house) / confirm,,,,
